eps_r,gamma_real,gamma_imag,gamma_mag,phase_deg
1.00,7.544311779341e-17,2.276665608956e-32,7.544311779341e-17,0.000000000
1.25,-5.104118503192e-02,-5.537183590835e-02,7.530765420145e-02,-132.669541123
1.50,-1.952010541777e-01,-3.060652354404e-02,1.975859580930e-01,-171.088868751
1.75,-2.226687907036e-01,1.055768045390e-01,2.464302173234e-01,154.632367636
2.00,-9.564933572173e-02,1.507790319747e-01,1.785584271527e-01,122.389718934
2.25,2.343374660409e-32,1.530808498934e-16,1.530808498934e-16,90.000000000
2.50,-1.186725232899e-01,-1.917719610749e-01,2.255208479022e-01,-121.750093530
2.75,-3.508569274059e-01,-2.015754183444e-01,4.046396332410e-01,-150.121636298
3.00,-4.952355137838e-01,-4.857512510756e-02,4.976120546087e-01,-174.398068160
3.25,-4.877914429897e-01,1.424852160318e-01,5.081756867872e-01,163.716771777
3.50,-3.424032105296e-01,2.701555982555e-01,4.361467709955e-01,141.726615237
3.75,-1.221593270825e-01,2.362221830169e-01,2.659395061711e-01,117.345175761
4.00,7.544311779341e-17,3.673940397442e-16,3.750600544739e-16,78.395817132
4.25,-1.311904007912e-01,-2.529865292697e-01,2.849791312565e-01,-117.409753035
4.50,-3.850408928813e-01,-3.110780184324e-01,4.950010330723e-01,-141.064941989
4.75,-5.773757513343e-01,-2.078139668436e-01,6.136362139282e-01,-160.204752233
5.00,-6.638261814765e-01,-4.342336280533e-02,6.652449080234e-01,-176.257400017
5.25,-6.551899605188e-01,1.274962304861e-01,6.674797174093e-01,168.988186197
5.50,-5.574822182730e-01,2.741583563282e-01,6.212481211522e-01,153.812983919
5.75,-3.693465846954e-01,3.514166472641e-01,5.098142402880e-01,136.425014296
6.00,-1.289389113286e-01,2.747252800945e-01,3.034785369307e-01,115.142432058
6.25,6.290637095681e-30,2.508114250923e-15,2.508114250923e-15,90.000000000
6.50,-1.340308513546e-01,-2.834166930132e-01,3.135112294534e-01,-115.309978694
6.75,-3.912742848089e-01,-3.704115412258e-01,5.387952076865e-01,-136.568951822
7.00,-5.961151427827e-01,-3.028747160662e-01,6.686451653060e-01,-153.065746340
7.25,-7.142580210433e-01,-1.758978134365e-01,7.355980977385e-01,-166.165264067
7.50,-7.630783447742e-01,-3.524115040221e-02,7.638916801124e-01,-177.355795119
7.75,-7.571045057909e-01,1.041384397595e-01,7.642329797414e-01,172.168207318
8.00,-6.982447945624e-01,2.356554508730e-01,7.369391322624e-01,161.350620902
8.25,-5.762245454859e-01,3.458333814854e-01,6.720382835598e-01,149.029031152
8.50,-3.773834158307e-01,3.943552118481e-01,5.458335603971e-01,133.740175067
8.75,-1.313138236232e-01,2.951852543747e-01,3.230753080550e-01,113.981997295
9.00,9.598462609036e-31,9.797174393179e-16,9.797174393179e-16,90.000000000
9.25,-1.346803089805e-01,-3.004370793931e-01,3.292434119331e-01,-114.145798929
9.50,-3.913549516965e-01,-4.045398041676e-01,5.628597972616e-01,-134.050920615
9.75,-5.987693753702e-01,-3.589507722958e-01,6.981192031544e-01,-149.058120004
10.00,-7.273238808012e-01,-2.570664264685e-01,7.714163436180e-01,-160.534479294
